business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Xabiaq Techno Medicals,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Medical Equipment Manufacturer",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 78787 37161,http://www.xabiaq.in/,5.0,,"4th Floor, Vishwamitra Complex, 35, Sardar Patel Stadium Rd, nr. Golden Triangle Complex, opp. Kalupur Bank, Chaitanya Nagar, Navrangpura, Ahmedabad, Gujarat 380009","Chaitanya Nagar, Navrangpura",23.0452813,72.5617658,ChIJtx7au_iFXjkRwB0eCKKfCmw,https://www.google.com/maps/place/?q=place_id:ChIJtx7au_iFXjkRwB0eCKKfCmw,part_101,2026-09-20 16:40:46
"CareSpace India Healthcare | Hospital Beds, Wheelchairs, BiPAP & Oxygen Concentrators On Rent or Sale",Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",N/A,http://carespaceindiaheathcare.com/,5.0,,"Chimanlal Girdharlal Rd, Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009","Mithakhali, Navrangpura",23.0304997,72.5592803,ChIJDTFEAtmFXjkR74BlFbQ4rwA,https://www.google.com/maps/place/?q=place_id:ChIJDTFEAtmFXjkR74BlFbQ4rwA,part_101,2026-09-20 16:40:46
Deep Medical Devices Private Limited,Medical Equipment Supplier,Medical supply store,Medical supply store,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 79 4032 8315,https://deepmedicaldevices.com/,4.3,,"108, sakar IX, Ashram Rd, nr. OLD RBI, Mill Officer's Colony, Muslim Society, Navrangpura, Ahmedabad, Gujarat 380009","Mill Officer's Colony, Muslim Society, Navrangpura",23.0324076,72.5699774,ChIJX0gQaFiEXjkRuGc_y1fhgKM,https://www.google.com/maps/place/?q=place_id:ChIJX0gQaFiEXjkRuGc_y1fhgKM,part_101,2026-09-20 16:40:46
Zenith Sleep Solutions,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98258 50333,https://www.zenithsleepsolutions.com/,5.0,,"Devashish Complex, 408, Chimanlal Girdharlal Rd, nr. St. Xaviours Corner, Navarangpura, Navrangpura, Ahmedabad, Gujarat 380009","Navarangpura, Navrangpura",23.033214599999997,72.5554805,ChIJkROj6F2FXjkRlTMuscEMGT4,https://www.google.com/maps/place/?q=place_id:ChIJkROj6F2FXjkRlTMuscEMGT4,part_101,2026-09-20 16:40:46
Man-Med Disposable Medical Apparel Manufacturer Exporter Supplier,Medical Equipment Supplier,Medical supply store,"Medical supply store, Supplier, Exporter, Hospital equipment and supplies, Medical Equipment Manufacturer, Safety equipment supplier, Wholesaler",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",N/A,https://www.man-med.com/,4.5,,"Iscon Avenue, 306, Chimanlal Girdharlal Rd, nr. Choice Restaurant, Navrangpura, Ahmedabad, Gujarat 380006",Navrangpura,23.028173,72.558133,ChIJl0CidFqFXjkRgMwEI8eWDPI,https://www.google.com/maps/place/?q=place_id:ChIJl0CidFqFXjkRgMwEI8eWDPI,part_101,2026-09-20 16:40:46
Accurex Biomedical,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",N/A,N/A,5.0,,"A-1128, Sun Westbank, Ashram Rd, Riverfront Rd, near Vallabh Sadan, opp. City Gold Cinema, Vishalpur, Muslim Society, Navrangpura, Ahmedabad, Gujarat 380009","Vishalpur, Muslim Society, Navrangpura",23.0310201,72.570943,ChIJPwSKYwCFXjkRxGMoNHEIwpI,https://www.google.com/maps/place/?q=place_id:ChIJPwSKYwCFXjkRxGMoNHEIwpI,part_101,2026-09-20 16:40:46
Lab Medica Systems Pvt. Ltd.,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Company",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 79 2657 4383,https://www.labmedicasystems.com/,4.9,,"705, Sakar-5, Near Mithakhali Railway Crossing, Off, Ashram Rd, Ahmedabad, Gujarat 380009",Ellisbridge,23.029829,72.569293,ChIJ_9cleXeEXjkRAMwUt5HJrmk,https://www.google.com/maps/place/?q=place_id:ChIJ_9cleXeEXjkRAMwUt5HJrmk,part_101,2026-09-20 16:40:46
APEX MEDICAL DEVICES,Medical Equipment Supplier,Manufacturer,"Manufacturer, Medical Equipment Manufacturer, Medical equipment supplier",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99041 51535,http://www.apexmedicaldevices.com/,4.2,5.0,"Shyam Ujjawal Industrial Estate, 10/B, opp. SBI Bank, Phase I, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase I, Vatva GIDC",22.969036,72.6300974,ChIJI_ie2aSIXjkRkxf6YsuZ5I0,https://www.google.com/maps/place/?q=place_id:ChIJI_ie2aSIXjkRkxf6YsuZ5I0,part_101,2026-09-20 16:40:47
BluePearl Technologies,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Equipment rental agency, Health consultant, Health counselor, Hospital equipment and supplies, Medical Center, Medical supply store, Sleep clinic, Wheelchair rental service",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98984 84859,http://www.bluepearltech.in/,5.0,523.0,"F-27, Satyam Status Shopping Complex,1st Floor Near Sai Krupa Hospital, Anand Nagar - Ramdev Nagar, Road, Jodhpur Village, Ahmedabad, Gujarat 380015","Sharanam-7, Chotila, Jodhpur Village",23.0187261,72.5134636,ChIJRYnlbxGbXjkRApMeKjKm1Fg,https://www.google.com/maps/place/?q=place_id:ChIJRYnlbxGbXjkRApMeKjKm1Fg,part_101,2026-09-20 16:40:47
Elite Enterprise,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 94094 07755,N/A,,,"Chitrarath Complex, 202, Chimanlal Girdharlal Rd, nr. President Hotel, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009","Vasant Vihar, Navrangpura",23.0350198,72.5594674,ChIJNcXoFLmFXjkRUlum5-iU1FE,https://www.google.com/maps/place/?q=place_id:ChIJNcXoFLmFXjkRUlum5-iU1FE,part_101,2026-09-20 16:40:47
