business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
IBT Global Outsourcing Services,Telemarketing Firms,Call center,"Call center, BPO Placement Agency, Business administration service, Business center, Business management consultant, BPO Company, Computer consultant, Computer service",380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",+91 79 4800 1415,https://www.ibt.global/,3.7,15.0,"315, Stellar, Sindhu Bhawan, Sindhu Bhavan Marg, Bodakdev, Ahmedabad, Gujarat 380059",Bodakdev,23.039704999999998,72.50763429999999,ChIJhTVihNWEXjkR3V_wGwaDFdo,https://www.google.com/maps/place/?q=place_id:ChIJhTVihNWEXjkR3V_wGwaDFdo,part_101,2026-09-20 16:54:40
eDataMine,Telemarketing Firms,Data Entry Service Provider,"Data Entry Service Provider, Database Management Company, Graphic designer, Market researcher",380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",+91 91572 00194,https://www.edatamine.com/,4.4,24.0,"Times Square Grand, B/603, Sindhu Bhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059","PRL Colony, Thaltej",23.041357299999998,72.49817879999999,ChIJfUPPjFaEXjkRPKPya1Sj1K4,https://www.google.com/maps/place/?q=place_id:ChIJfUPPjFaEXjkRPKPya1Sj1K4,part_101,2026-09-20 16:54:40
Ecomnext Solutions LLP,Telemarketing Firms,Marketing agency,"Marketing agency, Computer support and services, E - Commerce Agency, Internet marketing service, E-commerce service, Marketing consultant, Software company, Website designer",380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",+91 99090 15151,https://bit.ly/3zegcCv,4.3,11.0,"601-602 Colonnade 2 B/h Rajpath club, Rajpath Rangoli Rd, Bodakdev, Ahmedabad, Gujarat 380059",Bodakdev,23.032522699999998,72.5030123,ChIJ1wi6c3qbXjkRv4RklA8a5T8,https://www.google.com/maps/place/?q=place_id:ChIJ1wi6c3qbXjkRv4RklA8a5T8,part_101,2026-09-20 16:54:40
Raybotix Digital,Telemarketing Firms,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency",380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",+91 99091 00788,http://www.raybotixdigital.com/,4.8,11.0,"Shivalik Business Centre, A/5, Rajpath Rangoli Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059","PRL Colony, Bodakdev",23.0346622,72.50161179999999,ChIJU-A5JxWbXjkRTMYlsBcfda8,https://www.google.com/maps/place/?q=place_id:ChIJU-A5JxWbXjkRTMYlsBcfda8,part_101,2026-09-20 16:54:40
Rucha digital marketing services,Telemarketing Firms,Internet marketing service,Internet marketing service,380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",N/A,N/A,,,"arjun sky, B-703, near 42- parkview, Science City, Thaltej, Ahmedabad, Gujarat 380060","Science City, Thaltej",23.076038399999998,72.5003143,ChIJK0Bxa4ydXjkRJooU8aG4Xw4,https://www.google.com/maps/place/?q=place_id:ChIJK0Bxa4ydXjkRJooU8aG4Xw4,part_101,2026-09-20 16:54:40
Fancall Pvt Ltd,Telemarketing Firms,Internet marketing service,Internet marketing service,380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",+91 88666 86666,https://www.fancall.in/,4.8,,"Zion Z1, 1304, Sindhu Bhavan Marg, near Maple County Road, Bodakdev, Ahmedabad, Gujarat 380059",Bodakdev,23.045575,72.5079665,ChIJz-wijvIrXDkRYvo7os8G3Ck,https://www.google.com/maps/place/?q=place_id:ChIJz-wijvIrXDkRYvo7os8G3Ck,part_101,2026-09-20 16:54:40
Nexus Corporate Solution Pvt. Ltd.,Telemarketing Firms,Advertising agency,"Advertising agency, Human resource consulting, Website designer",380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",+91 84888 95608,http://nexuscorporate.in/,4.9,,"Shilp Epitome 1214 - 1215, Rajpath Rangoli Road, Sindhubhavan Rd, beside Rajpath Club, Bodakdev, Ahmedabad, Gujarat 380059",Bodakdev,23.035218,72.5042297,ChIJjTNKYsiDXjkRklmS5J2iZUs,https://www.google.com/maps/place/?q=place_id:ChIJjTNKYsiDXjkRklmS5J2iZUs,part_101,2026-09-20 16:54:40
Internet Spark,Telemarketing Firms,Internet marketing service,Internet marketing service,380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",+91 93137 02720,N/A,4.4,,"SF - 12, A-Square Comm, Cross Road, near KAVERI SANGAM, Shilaj, Ahmedabad, Gujarat 380059",380059,23.0510397,72.47884479999999,ChIJbwvOfzKQXwsRLvyMb-ZyTrc,https://www.google.com/maps/place/?q=place_id:ChIJbwvOfzKQXwsRLvyMb-ZyTrc,part_101,2026-09-20 16:54:41
SALW DIGITAL SOLUTIONS,Telemarketing Firms,Internet marketing service,"Internet marketing service, Service establishment",380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",N/A,http://salwdigitalsolutions.com/,5.0,,"SALW DIGITAL SOLUTIONS, 380059, India",380059,22.092816199999998,71.81880699999999,ChIJBQ8MudOd7EgRI9V3DSK9ins,https://www.google.com/maps/place/?q=place_id:ChIJBQ8MudOd7EgRI9V3DSK9ins,part_101,2026-09-20 16:54:41
Primic Digi Solution - 360 Digital Marketing Agency,Telemarketing Firms,Marketing agency,"Marketing agency, Internet marketing service, Advertising agency, Marketing consultant",380059,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Thaltej SO, Shilaj BO",+91 83209 94978,http://www.primicdigisolution.com/,5.0,,"Panchamrut Green, Sardar Patel Ring Rd, Karmajyot Society, Ahmedabad, Gujarat 380059",Karmajyot Society,23.0566693,72.4797049,ChIJU2sWtWebXjkR20rIb7t-0Mk,https://www.google.com/maps/place/?q=place_id:ChIJU2sWtWebXjkR20rIb7t-0Mk,part_101,2026-09-20 16:54:41
