business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Armed Management Services,Security Guard Agency,Security guard service,"Security guard service, Business administration service, Business to business service, Cleaning Services, Gardener, Human resource consulting, Machine maintenance service, Restaurant supply store, Transportation service",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 98795 63507,http://www.armedsecurity.co.in/,4.2,14.0,"F/64 Vimal Super Market, Apna Bazar Bk- Mehsana, 2, Dharam Cinema Rd, Mehsana, Gujarat 384002",Shraddhadip Society,23.596060299999998,72.38686679999999,ChIJQVQo5nhBXDkRBoTJCWKAAh8,https://www.google.com/maps/place/?q=place_id:ChIJQVQo5nhBXDkRBoTJCWKAAh8,part_105,2026-09-20 16:40:45,4755
Black Force Protection Service,Security Guard Agency,Security guard service,Security guard service,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 76230 74546,http://blackforceproduction.co.in/,5.0,85.0,"S-11, Gajjar Chambers, opp. BSNL Office, Pilaji Ganj, Mehsana, Gujarat 384001",Pilaji Ganj,23.6044776,72.391785,ChIJl30TGlpDXDkRcIb6PMTcmHg,https://www.google.com/maps/place/?q=place_id:ChIJl30TGlpDXDkRcIb6PMTcmHg,part_105,2026-09-20 16:40:45,4756
Smart manpower services,Security Guard Agency,Security guard service,Security guard service,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 79840 04318,N/A,5.0,150.0,"Basement, Motabhai market, Mahavirnagar, Himatnagar, Gujarat 383001",Mahavirnagar,23.595555299999997,72.9693434,ChIJT96Im4q5XTkR4bJMDWjzrqY,https://www.google.com/maps/place/?q=place_id:ChIJT96Im4q5XTkR4bJMDWjzrqY,part_105,2026-09-20 16:40:45,4757
NAVGUJARAT FACILITY MANAGEMENT (MANPOWER&JOBS),Security Guard Agency,Security guard service,"Security guard service, Cleaning Services, Unemployment office",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 92654 72486,https://www.navgujaratsecurity.in/,5.0,68.0,"S/23, GURU PLAZA, NEAR, Gathaman Gate Rd, Sanskar Society, Palanpur, Gujarat 385001",Sanskar Society,24.1675719,72.4356495,ChIJEQk3f3rpXDkRCeaQrb6OIOQ,https://www.google.com/maps/place/?q=place_id:ChIJEQk3f3rpXDkRCeaQrb6OIOQ,part_105,2026-09-20 16:40:45,4758
SP Enterprise & Security Service,Security Guard Agency,Security guard service,Security guard service,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,71.0,"F211-212, 2nd Floor, Joyus Hubtown ST Workshop road, Modhera Circle, Gujarat 384002",Sukheshwar Society,23.594131299999997,72.3825121,ChIJgUKSrn1DXDkRwT3BTKi8iXY,https://www.google.com/maps/place/?q=place_id:ChIJgUKSrn1DXDkRwT3BTKi8iXY,part_105,2026-09-20 16:40:45,4759
Mishra Security Services,Security Guard Agency,Security service,Security service,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 97275 76155,N/A,5.0,58.0,"Shop no.1,J.K Tower vibhag 2 Recidency, NH-8, near Suryansi residents, Palsana, Gujarat 394315",384340,21.0837251,72.9809429,ChIJ1-idA8Vb4DsRv1bKlhi5-WA,https://www.google.com/maps/place/?q=place_id:ChIJ1-idA8Vb4DsRv1bKlhi5-WA,part_105,2026-09-20 16:40:46,4760
Jay Dada Security Services,Security Guard Agency,Security guard service,Security guard service,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,4.7,26.0,"Shop No:-14, Jackson Colour Chemicals Ltd, Vir Vijay Hanuman Mandir, N Road, Vinoba Bhave Nagar, Dibiyapur, Phase 2, Vatva, Ahmedabad, Gujarat 382445","Vinoba Bhave Nagar, Dibiyapur, Phase 2, Vatva",22.957458799999998,72.6370723,ChIJX2CzeV-JXjkROpO99P-A038,https://www.google.com/maps/place/?q=place_id:ChIJX2CzeV-JXjkROpO99P-A038,part_105,2026-09-20 16:40:46,4761
Salamati Security & Personnel Force,Security Guard Agency,Security guard service,"Security guard service, Cleaning Services",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 98245 67451,http://www.salamatisecurity.com/,4.6,566.0,"3rd Floor, Silver Oaks Building, Opp HP Petrol Pump, Mahalaxmi, Vishwakunj Cross Rd, Paldi, Ahmedabad, Gujarat 380007",Paldi,23.0120149,72.563165,ChIJ8_qnyIqEXjkRyvSpusSI5VM,https://www.google.com/maps/place/?q=place_id:ChIJ8_qnyIqEXjkRyvSpusSI5VM,part_105,2026-09-20 16:40:46,4762
HIPRA Security & Manpower Management Services,Security Guard Agency,Security guard service,Security guard service,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 72039 39333,http://www.hipra.co.in/,4.9,36.0,"B-10/1 RUSHABHDEVNAGAR, Adinath Nagar, Odhav, Ahmedabad, Gujarat 382415","Adinath Nagar, Odhav",23.0189201,72.6616458,ChIJbRuNpUeHXjkRYh8Bl6OLVDI,https://www.google.com/maps/place/?q=place_id:ChIJbRuNpUeHXjkRYh8Bl6OLVDI,part_105,2026-09-20 16:40:46,4763
Valiant Security Agency,Security Guard Agency,Corporate office,Corporate office,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,4.6,9.0,"S/5, Crystal Plaza, Kadi-Chhatral Hwy, nr. EssarPetrol Pump, Jaldarsan Society, Kadi, Gujarat 384440",Jaldarsan Society,23.297577099999998,72.3405014,ChIJaZn5MxcjXDkReAgUwSbOalA,https://www.google.com/maps/place/?q=place_id:ChIJaZn5MxcjXDkReAgUwSbOalA,part_105,2026-09-20 16:40:46,4764
