business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Patel Property - Buy, Sale, Lease, Rent",Premium Luxury Real Estate,Real estate agent,Real estate agent,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 92281 88881,https://www.instagram.com/patel_property_vadodara/,4.9,,"132, VIP View Complex, Amit Nagar, Balaji Nagar, Karelibagh, Vadodara, Gujarat 390022","Amit Nagar, Balaji Nagar, Karelibagh",22.3265842,73.2045674,ChIJDSopJJfPXzkRl79Bx7zO8Qg,https://www.google.com/maps/place/?q=place_id:ChIJDSopJJfPXzkRl79Bx7zO8Qg,part_108,2026-09-20 16:42:52
Anil Enterprise,Premium Luxury Real Estate,Real estate agency,Real estate agency,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 93762 11404,N/A,4.8,56.0,"GF-9, Kala Darshan Society, Waghodia Rd, near Mahavir Hospital, Waghodia, Vadodara, Gujarat 390025",Waghodia,22.2920047,73.23011029999999,ChIJG06eIRLFXzkR3eUJu8r6rtA,https://www.google.com/maps/place/?q=place_id:ChIJG06eIRLFXzkR3eUJu8r6rtA,part_108,2026-09-20 16:42:53
Upscale,Premium Luxury Real Estate,Real estate consultant,Real estate consultant,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 78979 79731,https://upscalelandholdings.com/,4.7,12.0,"1002, 10th floor, Emaar Colonnade, Golf Course Ext Rd, Badshahpur, Sector 66, Gurugram, Haryana 122101","Badshahpur, Sector 66",28.405271,77.0565005,ChIJvwMd1G0iDTkRRWnQk6zcplc,https://www.google.com/maps/place/?q=place_id:ChIJvwMd1G0iDTkRRWnQk6zcplc,part_108,2026-09-20 16:42:53
Narains Luxury Properties India Private Limited,Premium Luxury Real Estate,Real estate agency,Real estate agency,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 98205 33939,https://luxurypropertiesindia.in/,5.0,27.0,"X Cube, Off New Link Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053","Veera Desai Industrial Estate, Andheri West",19.135402199999998,72.83328929999999,ChIJP3RUoyc3M44R3zybplhAbz8,https://www.google.com/maps/place/?q=place_id:ChIJP3RUoyc3M44R3zybplhAbz8,part_108,2026-09-20 16:42:53
Luxury Dream Realty Pvt Ltd,Premium Luxury Real Estate,Real estate agent,Real estate agent,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 99719 99230,http://www.luxurydreamrealty.in/,5.0,6.0,"SHOP 2 BABUPUR, Northern Peripheral Rd, Sector 109, Gurugram, Haryana 122017, Gurugram, Haryana 122006",Babupur Village,28.5125641,76.997432,ChIJKd1nzTnW20kRMmrDzaswJVQ,https://www.google.com/maps/place/?q=place_id:ChIJKd1nzTnW20kRMmrDzaswJVQ,part_108,2026-09-20 16:42:53
SOBHA Nesara,Premium Luxury Real Estate,Apartment complex,"Apartment complex, Apartment building, Condominium complex",388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 80 4646 4500,https://www.sobha.com/pune/sobha-nesara/,4.3,104.0,"Right Bhusari Colony, Kothrud, Pune, Maharashtra 411023","Right Bhusari Colony, Kothrud",18.5063296,73.7858265,ChIJqzauOAO_wjsRTmqy8xUj5LM,https://www.google.com/maps/place/?q=place_id:ChIJqzauOAO_wjsRTmqy8xUj5LM,part_108,2026-09-20 16:42:53
India Sotheby's International Realty,Premium Luxury Real Estate,Real estate agency,Real estate agency,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 98108 23600,https://www.sothebysrealty.com/india/eng,4.0,,"5th floor, Wing A, Prius Platinum, D-3, Saket District Centre, District Centre, Sector 6, Pushp Vihar, New Delhi, Delhi 110017","Saket District Centre, District Centre, Sector 6, Pushp Vihar",28.5272553,77.2177739,ChIJ3fl7Fs_jDDkRlbLQw5gOF_8,https://www.google.com/maps/place/?q=place_id:ChIJ3fl7Fs_jDDkRlbLQw5gOF_8,part_108,2026-09-20 16:42:55
Arvind Uplands,Premium Luxury Real Estate,Villa,Villa,388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 79 6826 4049,https://arvindsmartspaces.com/projects/uplands-one/,4.5,,"Thol Rd, opp. Karmabhoomi, near Rancharda, Nasmed, Ahmedabad, Gujarat 382115",388465,23.107578699999998,72.4007535,ChIJiTTVxUGeXjkRM3ivpSRpPzc,https://www.google.com/maps/place/?q=place_id:ChIJiTTVxUGeXjkRM3ivpSRpPzc,part_108,2026-09-20 16:42:55
Accurate Realty Ventures Private Limited,Premium Luxury Real Estate,Real estate consultant,"Real estate consultant, Commercial real estate agency, Real Estate Builders & Construction Company, Industrial real estate agency, Property management company, Real estate developer, Real estate rental agency",388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 99717 61212,http://www.accuraterealty.in/,4.7,,"Second Floor, Jmd Galleria Mall, 207, Badshahpur Sohna Rd, Sector 48, Gurugram, Haryana 122018",Sector 48,28.4207504,77.0383658,ChIJoR9P20QZDTkRji-zGt8hLWc,https://www.google.com/maps/place/?q=place_id:ChIJoR9P20QZDTkRji-zGt8hLWc,part_108,2026-09-20 16:42:55
Manchanda Realtors Pvt Ltd.,Premium Luxury Real Estate,Real estate consultant,"Real estate consultant, Commercial agent, Real Estate Builders & Construction Company, Industrial real estate agency, Property investment company, Real estate agent, Real estate auctioneer",388465,Gujarat Circle,Vadodara Region,Kheda Division,Palaj SO,+91 98717 27717,http://www.manchandarealtors.com/,4.7,30.0,"36A & 36B, Ground Floor, Edmonton Shopping Mall, Hotel THE BRISTOL, Mehrauli-Gurgaon Rd, Gurugram, Haryana 122002","A Block, DLF Phase 1",28.479547999999998,77.0918457,ChIJi1VVVVUWDTkRx2rIIQkEkVQ,https://www.google.com/maps/place/?q=place_id:ChIJi1VVVVUWDTkRx2rIIQkEkVQ,part_108,2026-09-20 16:42:56
