business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
M S EDUCATION CONSULTANT,Educational Consultant,Educational consultant,Educational consultant,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 92270 84714,https://www.mseconsultant.com/,4.8,,"2nd Floor, Bhagwandas Compex, near Manav Mandir, Lunsikui, Navsari, Gujarat 396445",Lunsikui,20.945074899999998,72.9352625,ChIJ8b2ujsf34DsR7qirrEWoVfo,https://www.google.com/maps/place/?q=place_id:ChIJ8b2ujsf34DsR7qirrEWoVfo,part_102,2026-09-20 17:06:09
Elite Overseas - IELTS & PTE Coaching Classes in Navsari | Study Abroad Consultant | Student Visa,Educational Consultant,Educational consultant,Educational consultant,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 70466 66335,http://www.eliteoverseaseducation.com/,5.0,,"Central Bazar, 303 - 312, Gandevi Rd, opposite Vidhyakunj High School, Pratiksha Society, Navsari, Gujarat 396445",Pratiksha Society,20.9367532,72.9404739,ChIJCxiayjX34DsRIUfsqn4khVE,https://www.google.com/maps/place/?q=place_id:ChIJCxiayjX34DsRIUfsqn4khVE,part_102,2026-09-20 17:06:09
GEMS (Gocool Group),Educational Consultant,Educational consultant,Educational consultant,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 72270 54124,https://www.gocoolgroup.com/,4.7,,"2nd Floor, Krishna aaron, Sardar Patel Rd, opp. Sanket sales, Patel Chokdi, Vivekanand Wadi, Anand, Gujarat 388001","Patel Chokdi, Vivekanand Wadi",22.5641924,72.9449376,ChIJZ2IPZ7RPXjkRydWaoP0n5wo,https://www.google.com/maps/place/?q=place_id:ChIJZ2IPZ7RPXjkRydWaoP0n5wo,part_102,2026-09-20 17:06:09
Premier Education & Overseas Private Limited || Best UK Visa Consultancy in Rajkot-Study,Educational Consultant,Educational consultant,"Educational consultant, Consultant, Education center, Visa Agent, Foreign consulate, International school, Student career counseling office, Travel agency, Unemployment office, Visitor center",382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 84011 50507,http://premieroverseas.in/,4.9,,"Sanskar Heights, 517, 150 Feet Ring Rd, near The Galleria Hotel, New Akash Deep, Jasraj Nagar, Mavdi, Rajkot, Gujarat 360004","New Akash Deep, Jasraj Nagar, Mavdi",22.261626399999997,70.78649159999999,ChIJ00bOKi7LWTkRhBZsd4zIbY8,https://www.google.com/maps/place/?q=place_id:ChIJ00bOKi7LWTkRhBZsd4zIbY8,part_102,2026-09-20 17:06:09
Foreign Education Club,Educational Consultant,Educational consultant,"Educational consultant, Education center, Consultant, Educational institution, English language school, Foreign Exchange Students Organization, Language school, Visa Agent",382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 98982 57567,http://www.foreigneducationclub.com/,4.8,,"Second Floor, S/1, 2 Wide Angle Complex, opposite Toyota Infinium Arcade, Nagalpur, Mehsana, Gujarat 384001",Nagalpur,23.5793814,72.3682675,ChIJq6qq6oVBXDkR63Fd3uga54A,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6oVBXDkR63Fd3uga54A,part_102,2026-09-20 17:06:09
RG International,Educational Consultant,Educational consultant,"Educational consultant, Educational institution, Language school",382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 75758 99922,https://www.rginternational.org/,4.7,,"Tulsi Arcade, 428, near Varni Plaza, opp. Friday Cinema, Sudama Chowk, Mota Varachha, Surat, Gujarat 394101","Sudama Chowk, Saket Raw House, Mota Varachha",21.2392388,72.88040099999999,ChIJka4xH_xO4DsRzKNYh_uoM6E,https://www.google.com/maps/place/?q=place_id:ChIJka4xH_xO4DsRzKNYh_uoM6E,part_102,2026-09-20 17:06:09
Edwise International - Study Abroad Consultants - Surat,Educational Consultant,Educational consultant,"Educational consultant, Association / Organization, Coaching Center, English language school",382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 261 411 3333,https://www.edwiseinternational.com/,4.8,933.0,"531, 5th Floor, International Trade Centre, Ring Rd, near Swaminarayan Complex, Char Rasta, Majura Gate, Surat, Gujarat 395002","Char Rasta, Kailash Nagar, Majura Gate",21.1808957,72.8191294,ChIJ1zveL2xO4DsRw0SO6SRpnng,https://www.google.com/maps/place/?q=place_id:ChIJ1zveL2xO4DsRw0SO6SRpnng,part_102,2026-09-20 17:06:09
GradSmart International LLP,Educational Consultant,Educational consultant,Educational consultant,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 72268 83383,https://www.gradsmartinternational.com/,5.0,68.0,"SHOP NO 5, TRIDENT LIFESTYLE APPT, GROUND FLOOR, opp. PARSI HOSPITAL, Lunsikui, Navsari, Gujarat 396445",Lunsikui,20.9433678,72.9407615,ChIJFTZlLTD34DsRHc-jw6suyws,https://www.google.com/maps/place/?q=place_id:ChIJFTZlLTD34DsRHc-jw6suyws,part_102,2026-09-20 17:06:09
KFEC - Komma Foreign Education Consultancy,Educational Consultant,Educational consultant,Educational consultant,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 84601 00014,https://kommaconsultancy.com/study-abroad/,4.6,22.0,"TF - 23, Phoenix Resicom, Vaikunth Crossroad, Waghodia Main rd, Madhavpura, Vadodara, Gujarat 390019",Madhavpura,22.2982923,73.2490215,ChIJ97casrTFXzkRWeqHnR5kGJw,https://www.google.com/maps/place/?q=place_id:ChIJ97casrTFXzkRWeqHnR5kGJw,part_102,2026-09-20 17:06:09
Learning Edge Education Consultants Pvt. Ltd.,Educational Consultant,Educational consultant,"Educational consultant, Consultant, Student career counseling office",382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 22 4003 2332,http://www.learningedgeindia.com/,4.9,691.0,"Fifth Floor, Sej Plaza, 504, Marve Rd, near Nutan Vidya Mandir High School, Malad, Malad West, Mumbai, Maharashtra 400064","Malad, Malad West",19.1920424,72.8455044,ChIJS9Jhrea25zsRwh4qz22Dkkw,https://www.google.com/maps/place/?q=place_id:ChIJS9Jhrea25zsRwh4qz22Dkkw,part_102,2026-09-20 17:06:09
