business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shreeji Children Hospital,Pediatrician and Child Clinic,Hospital,Hospital,382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",N/A,N/A,3.5,63.0,"B31, opp. PHG municipal arts and science college, Vardhaman Nagar, Kalol, Gujarat 382721",Vardhaman Nagar,23.2397222,72.49444439999999,ChIJk0wNo98lXDkR2pmI6pQUm3o,https://www.google.com/maps/place/?q=place_id:ChIJk0wNo98lXDkR2pmI6pQUm3o,part_101,2026-09-20 16:59:55
Dr. Pandey Children Clinic - Best Child Doctor/Best Pediatrician/Kids Clinic/Best Child Specialist/New Born Baby Doctor,Pediatrician and Child Clinic,Pediatrician,Pediatrician,382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",+91 78958 89914,http://www.drprashantpandey.in/,4.8,106.0,"1, Stadium Rd, near siddhwali sports, Ram Ganga Vihar, Moradabad, Uttar Pradesh 244105",Ram Ganga Vihar,28.868246799999998,78.7489832,ChIJZepuIW35CjkRGYXVpvnrzlY,https://www.google.com/maps/place/?q=place_id:ChIJZepuIW35CjkRGYXVpvnrzlY,part_101,2026-09-20 16:59:55
"Dr. Amit Saini, Best Pediatrician and Child Doctor in Rohtak",Pediatrician and Child Clinic,Pediatrician,Pediatrician,382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",+91 81081 34000,https://www.facebook.com/dramitsainipaediatrician,5.0,1198.0,"Positron hospital, Sector 35, Suncity Township-I, Rohtak, Haryana 124001","Sector 35, Suncity Township-I",28.9133028,76.6237754,ChIJSQwAmRqFDTkRbciJIq1MpH0,https://www.google.com/maps/place/?q=place_id:ChIJSQwAmRqFDTkRbciJIq1MpH0,part_101,2026-09-20 16:59:56
Dr. Gauri’s Kids Care,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Allergist, Child health care center, Doctor, Health consultant, Neonatal physician",382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",+91 98176 94339,https://directory.visibeen.com/punjab/mohali/pediatrician/dr-gauris-kids-care-mohali,4.9,489.0,"SSS 65, near OZI gym, Phase 9, Sector 63, Sahibzada Ajit Singh Nagar, Punjab 160062","Phase 9, Sector 63",30.6946482,76.7328383,ChIJla5VoyPvDzkRI9y2djexraA,https://www.google.com/maps/place/?q=place_id:ChIJla5VoyPvDzkRI9y2djexraA,part_101,2026-09-20 16:59:56
Dr. Manish Kuber - Kuber Bal Chikitsalay Best child specialist in Gwalior Best pediatrician in Gwalior,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, ENT Specialist",382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",+91 79093 05295,N/A,4.9,147.0,"Tikoniya Marg, Morar, Gwalior, Madhya Pradesh 474006",Morar,26.222749399999998,78.2270846,ChIJpw_bLWfBdjkRr39BO6oPFdU,https://www.google.com/maps/place/?q=place_id:ChIJpw_bLWfBdjkRr39BO6oPFdU,part_101,2026-09-20 16:59:56
Dr. Babu S. Madarkar | Best Pediatrician & Neonatologist in Hyderabad | Best Children Specialist,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Child health care center, Children's hospital, Doctor, Neonatal physician, Pediatric clinic",382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",+91 87123 45350,https://www.kimscuddles.com/doctors/dr-babu-s-madarkar?utm_source=google&utm_medium=gmaps&utm_campaign=drbabu_maps,4.8,31.0,"Krishna Nagar Colony, Ramgopalpet, Hyderabad, Telangana 500003","Krishna Nagar Colony, Ramgopalpet",17.437432599999998,78.4824758,ChIJkcgZ6XdFMzoRvHO6nsADJ9Q,https://www.google.com/maps/place/?q=place_id:ChIJkcgZ6XdFMzoRvHO6nsADJ9Q,part_101,2026-09-20 16:59:56
Dr. Bilal Khan & Team| Child Specialists| Pediatric emergency doctors| Pediatic ICU specialists| Childhood vaccination centre,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Pediatric clinic",382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",+91 87002 58094,https://drbilalkhan.in/,4.9,415.0,"Narayana Superspeciality Hospital, Block-V, DLF Phase 3, Sector 24, Gurugram, Haryana 122010","Block-V, DLF Phase 3, Sector 24",28.4978669,77.1019534,ChIJeztPFZYZDTkRlBksAoUDtNA,https://www.google.com/maps/place/?q=place_id:ChIJeztPFZYZDTkRlBksAoUDtNA,part_101,2026-09-20 16:59:56
Dr Hem Chandra Bhatt,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Child health care center, Pediatric clinic",382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",+91 11 4556 3636,N/A,4.9,313.0,"C 18, Madhu Vihar, I.P.Extension, Patparganj, New Delhi, Delhi, 110092","Madhu Vihar, I.P.Extension, Patparganj",28.6347496,77.30378979999999,ChIJcUyWz9_lDDkROk0fHZiHJHs,https://www.google.com/maps/place/?q=place_id:ChIJcUyWz9_lDDkROk0fHZiHJHs,part_101,2026-09-20 16:59:56
Dr. Prasanna S. Bhat clinic and Vaccination center,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Neonatal physician",382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",+91 85275 10123,N/A,4.7,,"Pocket B, 104, 1st Floor, Purvanchal Plaza, 7, LSC, Mayur Vihar Phase I, Mayur Vihar, Delhi, 110091","Mayur Vihar Phase I, Mayur Vihar",28.6198259,77.3013462,ChIJgzJeeLrkDDkRlz3piwGH8to,https://www.google.com/maps/place/?q=place_id:ChIJgzJeeLrkDDkRlz3piwGH8to,part_101,2026-09-20 16:59:56
Dr Raman Sharma (Paediatrician) Child Specialist Doctor & Neonatalogist,Pediatrician and Child Clinic,Pediatrician,Pediatrician,382024,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 23 SO, Gandhinagar Sector 24 SO",+91 97973 80395,N/A,4.8,,"CITY CLINIC AND DIAGNOSTIC CENTRE, 70 B, near Shingari Complex, Maheshpura, Jammu, Jammu and Kashmir 180001",Maheshpura,32.7373621,74.8558786,ChIJyadOWfaFHjkRoFaZrTCjf1M,https://www.google.com/maps/place/?q=place_id:ChIJyadOWfaFHjkRoFaZrTCjf1M,part_101,2026-09-20 16:59:56
