business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ABHIGYAN EQUIPMENTS,Industrial Equipment Suppliers,Machinery parts manufacturer,Machinery parts manufacturer,382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",N/A,https://abhigyanequipments.com/,5.0,1.0,"6,7, MUKHI INDUSTRIAL PARK, Plot no. 5, Gujarat 382435",382435,22.9570819,72.7298515,ChIJi5NRdQVjXjkRj0x5rlmkFkg,https://www.google.com/maps/place/?q=place_id:ChIJi5NRdQVjXjkRj0x5rlmkFkg,part_102,2026-09-20 17:02:45
SHRAMDEEP ENGINEERING,Industrial Equipment Suppliers,Machinery parts manufacturer,Machinery parts manufacturer,382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",N/A,N/A,4.9,15.0,"ATLANTIC IND.PARK 28, nr. Vinzol Crossing Road, Dibiyapur, Vatva, Ahmedabad, Gujarat 382445","Dibiyapur, Vatva",22.9556523,72.6299417,ChIJkwPJ0YSHXjkR41U0RFYk8uo,https://www.google.com/maps/place/?q=place_id:ChIJkwPJ0YSHXjkR41U0RFYk8uo,part_102,2026-09-20 17:02:45
Textile Machinery Mfg. Co.,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Hydraulic equipment supplier, Manufacturer, Material handling equipment supplier",382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 85111 15683,N/A,5.0,2.0,"537, GIDC PHASE II NR, Vinzol Rail Crossing Rd, Vatva, Ahmedabad, Gujarat 382445","Vinoba Bhave Nagar, Dibiyapur, Phase 2, Vatva",22.9559839,72.6322653,ChIJe1WLxP-JXjkRLNiU-fU4WUY,https://www.google.com/maps/place/?q=place_id:ChIJe1WLxP-JXjkRLNiU-fU4WUY,part_102,2026-09-20 17:02:45
Capax Craftech,Industrial Equipment Suppliers,Machinery parts manufacturer,Machinery parts manufacturer,382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",N/A,http://www.capaxcraftech.co.in/,5.0,13.0,"35, Devine Industrial Park , Bakrol Raod, Dhamatvan Dhamatvan, Gujarat 382435",382435,22.9580476,72.7228504,ChIJnTeTEpdiXjkRU7JV3vxaQp8,https://www.google.com/maps/place/?q=place_id:ChIJnTeTEpdiXjkRU7JV3vxaQp8,part_102,2026-09-20 17:02:45
Gajjar Equipments Private Limited,Industrial Equipment Suppliers,Manufacturer,"Manufacturer, Construction equipment supplier",382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 99789 92957,http://gajjarequipments.com/,4.9,20.0,"Matruchaya Industrial Estate, 3 - 4, Dhamantvan Road, behind Matru Chhaya Weight Bridge, Dhamantvan, Vanch, Ahmedabad, Gujarat 382435",Dhamantvan,22.9525825,72.7113905,ChIJ16JiaB6GXjkRvl3OtFRBoC0,https://www.google.com/maps/place/?q=place_id:ChIJ16JiaB6GXjkRvl3OtFRBoC0,part_102,2026-09-20 17:02:45
Proqutech Engineering - food and chemical processing machinery & equipment,Industrial Equipment Suppliers,Manufacturer,"Manufacturer, Boiler Manufacturer, Chemical plant, Food machinery supplier, Food processing equipment, Machining manufacturer, Material handling equipment supplier",382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 97237 95997,N/A,5.0,2.0,"shed no. 19/20/21 , phase -2 , vatva G.I.D.C NR. KIRI DYES. AMBICA, CROSS ROAD, Ahmedabad, Gujarat 382445","Vinoba Bhave Nagar, Dibiyapur, Phase 2, Vatva",22.9589365,72.63552779999999,ChIJCZ5CqkqPXjkRWozVWpjW0Kg,https://www.google.com/maps/place/?q=place_id:ChIJCZ5CqkqPXjkRWozVWpjW0Kg,part_102,2026-09-20 17:02:45
OMAXE - K. B. INDUSTRIES,Industrial Equipment Suppliers,Manufacturer,"Manufacturer, Hydraulic equipment supplier",382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 93282 58056,https://www.omaxemachine.com/,5.0,17.0,"JK Industrial Park, Dhanya Weight Bridge, Plot no.21, Vanch Road, Daskroi, Dhamatwan, Gujarat 382435",Daskroi,22.9527255,72.71731729999999,ChIJIYJyE0KJXjkRZMs3EEj0gPo,https://www.google.com/maps/place/?q=place_id:ChIJIYJyE0KJXjkRZMs3EEj0gPo,part_102,2026-09-20 17:02:45
Acme Air Equipments Company Pvt. Ltd.,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Air filter supplier, Equipment Exporter, Industrial consultant, Manufacturer, Mechanical engineer, Vacuum cleaning system supplier, Water treatment plant",382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 79 2583 5995,https://www.acmeairequipments.com/,4.7,22.0,"Plot-57 / 3, 4, 5, Jagfashion Mill Compound, Phase I B. Road, GIDC, Vatva, Ahmedabad, Gujarat 382445","Phase I, Vatva",22.9672149,72.63258569999999,ChIJAQAAAMyIXjkRn4Dq5VGe-J0,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAMyIXjkRn4Dq5VGe-J0,part_102,2026-09-20 17:02:45
Margo Industries,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Manufacturer",382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 98250 03874,http://www.margoindustries.com/,4.6,18.0,"Plot No 1, Sardar Patel Estate, Dhamatwan Vanch Road, Laxmanpura, Taluka Daskroi, Dhamatwan Vanch, Road, Ahmedabad, Gujarat 382435",382435,22.949171699999997,72.70765639999999,ChIJd6Zsn2OGXjkRT4Ll8-di7uU,https://www.google.com/maps/place/?q=place_id:ChIJd6Zsn2OGXjkRT4Ll8-di7uU,part_102,2026-09-20 17:02:45
Pre-Mech Industries-Manufacturer of Industrial Rollers in Ahmedabad,Industrial Equipment Suppliers,Machinery parts manufacturer,Machinery parts manufacturer,382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 97257 88054,https://premechindustries.in/,5.0,15.0,"Police Station, 34, Omkar Estate, Opp Mahadev Estate-6, Nr, To, CTM - Ramol Rd, C.T.M, Ramol, Ahmedabad, Gujarat 382449","C.T.M, Ramol",22.992826299999997,72.6439312,ChIJS_9ZG66JXjkRuOzLRBijh3c,https://www.google.com/maps/place/?q=place_id:ChIJS_9ZG66JXjkRuOzLRBijh3c,part_102,2026-09-20 17:02:45
Manisha automation,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",N/A,N/A,5.0,,"platinum plaza, railway station, 31 Raghuvir state part 3, Vatva, Ahmedabad, Gujarat 380004","Dibiyapur, Vatva",22.958389399999998,72.6287057,ChIJWb3Q16yJXjkRhXvj25GjYi0,https://www.google.com/maps/place/?q=place_id:ChIJWb3Q16yJXjkRhXvj25GjYi0,part_102,2026-09-20 17:02:45
Jay Khodiyar Metal Industries,Industrial Equipment Suppliers,Construction equipment supplier,"Construction equipment supplier, Manufacturer, Road construction machine repair service",382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 99790 25581,https://www.indiamart.com/jaykhodiyarmetalindustries/,4.8,,"Plot No:3218,B/h Benzo Product, Phase IV, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase IV, Vatva GIDC",22.9580819,72.64908439999999,ChIJAQAAAMyIXjkRRqzHYpbDBVY,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAMyIXjkRRqzHYpbDBVY,part_102,2026-09-20 17:02:45
Neelkanth Engineering Industries,Industrial Equipment Suppliers,Material handling equipment supplier,Material handling equipment supplier,382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 99988 23070,http://www.neelkanthcranes.com/,5.0,,"Plot No. B-1, 90/6, A, Phase-1, GIDC Vatva, Ahmedabad, Gujarat 382445","Phase I, Vatva GIDC",22.969572,72.635423,ChIJ0y8JrqOIXjkRNiLb2BeuiKg,https://www.google.com/maps/place/?q=place_id:ChIJ0y8JrqOIXjkRNiLb2BeuiKg,part_102,2026-09-20 17:02:45
MECH HEART MACHINERIES PRIVATE LIMITED,Industrial Equipment Suppliers,Manufacturer,"Manufacturer, Hydraulic equipment supplier",382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 90548 80337,http://mech-heart.com/,5.0,,"B/H, HANUMAN MANDIR, SHED NO. - A/13/1 SIDHPURA ESTATE, NR. RAMOL CHOKDI, Phase IV, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase IV, Vatva GIDC",22.9610336,72.650728,ChIJ____T8liXjkRGqnIw3eg9GU,https://www.google.com/maps/place/?q=place_id:ChIJ____T8liXjkRGqnIw3eg9GU,part_102,2026-09-20 17:02:45
Ujjwala Industries,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 79841 97609,https://ujjwalaindustries.in/,5.0,55.0,"PLOT NO 11, Bombay Conductor Rd, near GIDC POLICE STATIONS, Phase I, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase I, Vatva GIDC",22.971489899999998,72.6276907,ChIJzy9xsZCJXjkR4H88MMssgJs,https://www.google.com/maps/place/?q=place_id:ChIJzy9xsZCJXjkR4H88MMssgJs,part_102,2026-09-20 17:02:46
Maheriya Technopulse Industries,Industrial Equipment Suppliers,Food processing equipment,Food processing equipment,382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO",+91 91069 34720,https://technopulseindustries.com/,4.9,,"56, Akshar Industrial Estate, near Gajanan Estate Hub, Hathijan Circle, Ramol, Hathijan Highway, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase IV, Vatva GIDC",22.9574022,72.65244919999999,ChIJbTfYb0yJXjkRoqp1nTSeVZ4,https://www.google.com/maps/place/?q=place_id:ChIJbTfYb0yJXjkRoqp1nTSeVZ4,part_102,2026-09-20 17:02:47
