business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ankit & Sanjay Partners LLP,Tax and GST Consultant,Tax consultant,"Tax consultant, Accounting firm, Bookkeeping service, Tax attorney",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 94292 26852,http://www.asplglobus.com/,5.0,,"314, Kesar Plaza, Opp 108 GVK Emergency Center, Kathwada Rd, Naroda, Ahmedabad, Gujarat 382330","Vasant Vihar 2, Naroda",23.0692357,72.6831043,ChIJtcphPSuHXjkR9LpMj-vYUYQ,https://www.google.com/maps/place/?q=place_id:ChIJtcphPSuHXjkR9LpMj-vYUYQ,part_102,2026-09-20 16:49:28
Patel Tax Consultant,Tax and GST Consultant,Consultant,"Consultant, Accounting firm, Education center",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 96620 26137,https://patelconsultant.in/,4.9,,"SUNRISE BUSINESS CENTER, 311, NIKOL GAM, b/h SWAMINARAYAN GURUKUL, to RING ROAD, Nikol, Ahmedabad, Gujarat 380049",Nikol,23.040274099999998,72.6731258,ChIJSYVLob6HXjkRF0Rdm2A66jE,https://www.google.com/maps/place/?q=place_id:ChIJSYVLob6HXjkRF0Rdm2A66jE,part_102,2026-09-20 16:49:28
Nilkanth Tax Consultancy,Tax and GST Consultant,Tax consultant,Tax consultant,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 97263 06345,N/A,5.0,,"25, Sakar Society, Nikol, Ahmedabad, Gujarat 380049","Sakar Society, Nikol",23.0444209,72.6657159,ChIJh_1DmguHXjkRI2b1jzkWE08,https://www.google.com/maps/place/?q=place_id:ChIJh_1DmguHXjkRI2b1jzkWE08,part_102,2026-09-20 16:49:28
Tax Plan Consultancy,Tax and GST Consultant,Accounting firm,"Accounting firm, Financial planner, Insurance agency, Tax preparation service",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 95587 98933,https://taxplanconsultancy.in/,5.0,,"H-103, SHREEDHAR FLORA, COMPLEX, Main Rd, nr. Amar Jawan Circle, opp. Rhythm Plaza, Nikol, Kathwada, Ahmedabad, Gujarat 382350",Nikol,23.0391808,72.6758631,ChIJBVOT7_GHXjkRisqMMq4H8o0,https://www.google.com/maps/place/?q=place_id:ChIJBVOT7_GHXjkRisqMMq4H8o0,part_102,2026-09-20 16:49:28
Mantra & Co. Advocate & Tax Consultant,Tax and GST Consultant,Tax consultant,"Tax consultant, Business management consultant, Law firm, Tax attorney",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 84908 49012,https://mantraandco.in/,5.0,,"603, Suvas Scala, Police Station, nr. Parikh hospital, opp. Nikol, Nikol, Ahmedabad, Gujarat 380049",Nikol,23.0436157,72.6770666,ChIJ37QlspaHXjkRofuGcQGEoyQ,https://www.google.com/maps/place/?q=place_id:ChIJ37QlspaHXjkRofuGcQGEoyQ,part_102,2026-09-20 16:49:28
Tax Savvy,Tax and GST Consultant,Tax consultant,"Tax consultant, Financial planner, Tax preparation service",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 81082 80567,N/A,5.0,,"A-101, Pratishtha Sky, Haridarshan Char Rasta, behind Aashirwad Avenue, Ahmedabad, Gujarat 382330","Vasant Vihar 2, Nava Naroda",23.070993299999998,72.67309,ChIJhWkHvxeHXjkREw0kOgbCpfQ,https://www.google.com/maps/place/?q=place_id:ChIJhWkHvxeHXjkREw0kOgbCpfQ,part_102,2026-09-20 16:49:28
MACS - MURLIDHAR ACCOUNTING & CONSULTING SERVICES,Tax and GST Consultant,Tax consultant,"Tax consultant, Accountant, Accounting firm, Bookkeeping service, Business management consultant, Tax preparation service",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 97255 35467,N/A,4.0,,"Fortune Sky, Mango cinema complex, 304, opp. Fortune Plaza, Ahmedabad, Gujarat 382345","New India Colony, Nava Naroda",23.0638038,72.6775699,ChIJfab548KGXjkR21Jvt3-FveY,https://www.google.com/maps/place/?q=place_id:ChIJfab548KGXjkR21Jvt3-FveY,part_102,2026-09-20 16:49:28
Compte Tax Consultant,Tax and GST Consultant,Tax consultant,"Tax consultant, Accountant, Bookkeeping service, Financial audit, Accounting firm",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 99988 79634,https://sites.google.com/view/comptetaxconsultant/,5.0,,"Shivam Residency, Gangotri Circle, Nikol, Ahmedabad, Gujarat 380049",Nikol,23.0459295,72.6697394,ChIJw6wSIwKHXjkRJzdZRkaILTE,https://www.google.com/maps/place/?q=place_id:ChIJw6wSIwKHXjkRJzdZRkaILTE,part_102,2026-09-20 16:49:28
SP Tax Consultancy,Tax and GST Consultant,Tax consultant,"Tax consultant, Accounting firm, Chartered accountant",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 95864 60185,N/A,4.6,,"403, Pearl Plaza, Hari Darshan cross Road, nr. Sandipani School, Vasant Vihar 2, Nava Naroda, Ahmedabad, Gujarat 382330","Vasant Vihar 2, Nava Naroda",23.069841999999998,72.673037,ChIJ-f___yyHXjkRH7uWhahIyDY,https://www.google.com/maps/place/?q=place_id:ChIJ-f___yyHXjkRH7uWhahIyDY,part_102,2026-09-20 16:49:28
S S TAX PLANNER,Tax and GST Consultant,Accountant,Accountant,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 97257 61065,N/A,4.9,,"3rd Floor, Blueberry, Nr, 312, Complex, Bhojaldham Residency Road, nr. Gurukul Road, Nikol, Ahmedabad, Gujarat 380049",Nikol,23.0366958,72.67209989999999,ChIJGfDpMZGGXjkROW0iYievwKo,https://www.google.com/maps/place/?q=place_id:ChIJGfDpMZGGXjkROW0iYievwKo,part_102,2026-09-20 16:49:28
