business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Royal Scooters (HP Caltex Station),Automotive Service Chains,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Oil change service",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99133 43343,https://www.valvolineglobal.com/en-in/,2.7,,"Buiding No 9, Chaitanya society, opposite Savior Hospital, Sadhna Colony, Chaitanya Nagar, Navrangpura, Ahmedabad, Gujarat 380009","Sadhna Colony, Chaitanya Nagar, Navrangpura",23.044901199999998,72.560518,ChIJ0xurko6EXjkRHgs6Uw1BCTU,https://www.google.com/maps/place/?q=place_id:ChIJ0xurko6EXjkRHgs6Uw1BCTU,part_101,2026-09-20 16:40:50
Moto Vanta,Automotive Service Chains,Auto parts store,"Auto parts store, Motorcycle parts store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 94280 52892,N/A,4.9,,"Karnavati Apartment, 84/1007, Naranpura, Ahmedabad, Gujarat 380063",Naranpura,23.0552805,72.5464519,ChIJTV9wQiibXjkRZI8LQSwvN40,https://www.google.com/maps/place/?q=place_id:ChIJTV9wQiibXjkRZI8LQSwvN40,part_101,2026-09-20 16:40:50
11 MOTORS | Luxury Car Repair & Service,Automotive Service Chains,Auto repair shop,"Auto repair shop, Auto air conditioning service, Auto body shop, Auto electrical service, Auto painting, Auto spring shop, Brake shop, Diesel engine repair service, Oil change service, Transmission shop",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 93391 10111,https://www.11motors.com/,4.7,,"Gate No. 1 & 2, Between Stadium, Salt Lake Stadium Rd, JC Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106","JC Block, Sector 3, Bidhannagar",22.5713641,88.4095658,ChIJx63llj51AjoRH_fI-vuCK7o,https://www.google.com/maps/place/?q=place_id:ChIJx63llj51AjoRH_fI-vuCK7o,part_101,2026-09-20 16:40:50
Royal Enfield Service Center - Sarabhai Motors,Automotive Service Chains,Two Wheeler Repair Shop,Two Wheeler Repair Shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 96190 41392,https://www.royalenfield.com/?utm_source=GMBlisting&utm_medium=organic,4.5,,"GroundFloor,Prarthana Complex Manekbaug, Road, opposite Chimanbhai Patel Bunglow, Shyamal, Ahmedabad, Gujarat 380015","Shreenath Park Soceity, Parasunku Society, Shyamal",23.0172128,72.5375748,ChIJ16ox9tOFXjkRYzcCBkgo2gc,https://www.google.com/maps/place/?q=place_id:ChIJ16ox9tOFXjkRYzcCBkgo2gc,part_101,2026-09-20 16:40:50
Anjaney Motors - Service Center,Automotive Service Chains,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 77355 00560,N/A,4.6,,"Jail Rd, near flipkart godown, Chhend Colony, Rourkela, Odisha 769012",Chhend Colony,22.231456599999998,84.8242775,ChIJ5SKPR3EZIDoRtJQlIGL6VdA,https://www.google.com/maps/place/?q=place_id:ChIJ5SKPR3EZIDoRtJQlIGL6VdA,part_101,2026-09-20 16:40:50
FASTCARS AUTO SERVICES LLP,Automotive Service Chains,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98801 33887,http://www.fastcarsindia.com/,4.5,,"Plot #9 & 10, Bannerghatta Rd, opp. IIM, behind Vishal Mega Mart, Krishnaraju Layout, Amalodbhavi Nagar, Bilekahalli, Bengaluru, Karnataka 560076","Krishnaraju Layout, Amalodbhavi Nagar, Bilekahalli",12.897936999999999,77.59868,ChIJodj8aWQVrjsRvyb0Fgy5mtY,https://www.google.com/maps/place/?q=place_id:ChIJodj8aWQVrjsRvyb0Fgy5mtY,part_101,2026-09-20 16:40:50
India Car Service,Automotive Service Chains,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",N/A,N/A,3.0,,"J5XV+XHQ, near by Kraol Vyasya, Block 35M, WEA, Karol Bagh, Delhi, 110005","Block 35M, WEA, Karol Bagh",28.6499563,77.1939828,ChIJY00H_Z0CDTkRrz2l7y_oZgA,https://www.google.com/maps/place/?q=place_id:ChIJY00H_Z0CDTkRrz2l7y_oZgA,part_101,2026-09-20 16:40:50
Expert Engineering Co,Automotive Service Chains,Electrical engineer,"Electrical engineer, Auto parts store, Corporate office, Furnace parts supplier, Industrial engineer, Industrial equipment supplier, Industrial Spares & Products Wholesaler, Machinery parts manufacturer, Manufacturer",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98256 77909,https://www.experteng.com/,5.0,,"Nr.Co.Petrol Pump, Yogeshwar Nagar, Giriraj 86, Dharnidhar, Derasar Rd, Paldi, Ahmedabad, Gujarat 380006",Paldi,23.021673099999997,72.5514858,ChIJy6sDjwGFXjkRQ11Mdiei1gI,https://www.google.com/maps/place/?q=place_id:ChIJy6sDjwGFXjkRQ11Mdiei1gI,part_101,2026-09-20 16:40:50
Exotic Premium Car Service,Automotive Service Chains,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 93805 54489,http://tridevcarcare.com/,4.8,,"14/3, Doddakalasandra, Narayana Nagar 1st Block, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560062","Narayana Nagar 1st Block, Bangalore City Municipal Corporation Layout",12.877462399999999,77.5532716,ChIJNWSTDGo_rjsRiGIdiLzOAbs,https://www.google.com/maps/place/?q=place_id:ChIJNWSTDGo_rjsRiGIdiLzOAbs,part_101,2026-09-20 16:40:50
Royal Enfield Service Center - Karnavati Bikes,Automotive Service Chains,Two Wheeler Repair Shop,Two Wheeler Repair Shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 96192 21973,https://www.royalenfield.com/?utm_source=GMBlisting&utm_medium=organic,4.1,,"Karnavati Bikes, next to Torrent House, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013","Sundar Nagar, Naranpura",23.0522486,72.55005729999999,ChIJScIQ9pKEXjkRPr4hG3hh-vE,https://www.google.com/maps/place/?q=place_id:ChIJScIQ9pKEXjkRPr4hG3hh-vE,part_101,2026-09-20 16:40:50
Grand Auto Care,Automotive Service Chains,Auto repair shop,"Auto repair shop, Car repair and maintenance service",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98336 55956,N/A,4.9,542.0,"Ground Floor, Bldg, Akurli Rd, opp. Lokhandwala Foundation School, Kandivali, MHADA Colony, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101","Kandivali, MHADA Colony, Lokhandwala Township, Kandivali East",19.1971223,72.875005,ChIJ3cqTKhW35zsRG9F18Izd_b0,https://www.google.com/maps/place/?q=place_id:ChIJ3cqTKhW35zsRG9F18Izd_b0,part_101,2026-09-20 16:40:51
HSM Auto Garage,Automotive Service Chains,Auto repair shop,"Auto repair shop, Auto bodywork mechanic, Auto painting, Car repair and maintenance service, Car battery store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 97692 21348,https://www.hsmautogarage.com/,4.9,488.0,"Shop No .1, Narmada Bldg, near Bhujale Talaoo, 10, Chincholi Bunder Rd, Malad West, Mumbai, Maharashtra 400064","Malad, Chincholi Bunder, Malad West",19.1814102,72.8386077,ChIJMVFFifC25zsRs1UOsSZKXCU,https://www.google.com/maps/place/?q=place_id:ChIJMVFFifC25zsRs1UOsSZKXCU,part_101,2026-09-20 16:40:51
