business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHABNAM HANDICRAFT,Exporters,Garment Exporter,Garment Exporter,380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",+91 93270 98368,N/A,4.8,13.0,"Archana State, B-3, Rakhial, Ahmedabad, Gujarat 380023",Rakhial,23.0209145,72.6308485,ChIJPQANJlKFXjkRBZYocG00ymo,https://www.google.com/maps/place/?q=place_id:ChIJPQANJlKFXjkRBZYocG00ymo,part_101,2026-09-20 16:46:55
Earth's Essence Exports,Exporters,Agricultural production,Agricultural production,380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",N/A,https://earthsessenceexports.com/,5.0,6.0,"Second Floor, Sumel business park 7, H/207, near Soni ni chali, Rehmat Nagar, Bapunagar, Ahmedabad, Gujarat 380023","Rehmat Nagar, Bapunagar",23.0210173,72.6374275,ChIJKRUMFxKHXjkRiZvsA4gpnEw,https://www.google.com/maps/place/?q=place_id:ChIJKRUMFxKHXjkRiZvsA4gpnEw,part_101,2026-09-20 16:46:55
M.A Creation,Exporters,Garment Exporter,Garment Exporter,380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",N/A,N/A,5.0,2.0,"F 37, Sumel 8, Ajit Mill Cir, Char Rasta, Rehmat Nagar, Rakhial, Ahmedabad, Gujarat 380023","Char Rasta, Rehmat Nagar, Rakhial",23.0220184,72.63233199999999,ChIJ07lrm5aHXjkRvyAv7ApQ3qE,https://www.google.com/maps/place/?q=place_id:ChIJ07lrm5aHXjkRvyAv7ApQ3qE,part_101,2026-09-20 16:46:55
SHAHNAJ GARMENT,Exporters,Garment Exporter,Garment Exporter,380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",N/A,N/A,,,"SOMA TEXTILE, banner ind estate, 95, Ahmedabad, Gujarat 380023","Industrial Area, Rakhial",23.020134,72.628964,ChIJTYIcFwCHXjkR2vYLZ3SLTNs,https://www.google.com/maps/place/?q=place_id:ChIJTYIcFwCHXjkR2vYLZ3SLTNs,part_101,2026-09-20 16:46:55
GS MetalFit,Exporters,Exporter,"Exporter, Industrial equipment supplier, Manufacturer, Metal supplier, Pipe supplier, Steel distributor",380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",N/A,https://www.gsmetalfit.com/,,,"Jagannath Estate, C/1/1/B, opp. Shri Ram Estate, near Gujarat Bottling Road, Industrial Area, Rakhial, Ahmedabad, Gujarat 380023","Industrial Area, Rakhial",23.0160709,72.6315429,ChIJu3_uHcqHXjkRc5KGRfr6gak,https://www.google.com/maps/place/?q=place_id:ChIJu3_uHcqHXjkRc5KGRfr6gak,part_101,2026-09-20 16:46:55
Whitestar Enterprises,Exporters,Garment Exporter,Garment Exporter,380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",+91 80005 49797,http://whitestarenterprises.in/,,,"D-401, 4th floor, Sumel-8 Ajit mill, Cross Rd, Rakhial, Ahmedabad, Gujarat 380023","Industrial Area, Rakhial",23.020142099999997,72.6325298,ChIJN2_wFTGEXjkR5DU_FYxuT2c,https://www.google.com/maps/place/?q=place_id:ChIJN2_wFTGEXjkR5DU_FYxuT2c,part_101,2026-09-20 16:46:55
BLOSSOM VALVES,Exporters,Manufacturer,"Manufacturer, Supplier, Industrial equipment supplier",380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",+91 94277 11264,N/A,5.0,13.0,"Ajit Mill, Rakhial Rd, Industrial Area, Rakhial, Ahmedabad, Gujarat 380023","Industrial Area, Rakhial",23.0173794,72.6311667,ChIJyVOeXgCHXjkR09A3iJ663tk,https://www.google.com/maps/place/?q=place_id:ChIJyVOeXgCHXjkR09A3iJ663tk,part_101,2026-09-20 16:46:55
Shree Gelkrupa Industries - textile weaving spares manufacturer | exporter in ahmedabad | gujarat | India,Exporters,Textile Engineer,Textile Engineer,380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",+91 98243 94577,https://www.textileweavingspares.in/,4.8,,"73, krishna Eatate B/h, Indian Oxygen, Panna Estate Rd, opp. Sukhram Estate, Rehmat Nagar, Rakhial, Ahmedabad, Gujarat 380023","Rehmat Nagar, Rakhial",23.023227,72.6348501,ChIJi64do5WHXjkRgKC7Xe_m8I4,https://www.google.com/maps/place/?q=place_id:ChIJi64do5WHXjkRgKC7Xe_m8I4,part_101,2026-09-20 16:46:55
VANSH GLOBAL,Exporters,Manufacturer,"Manufacturer, Plastic Products Supplier",380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",+91 83202 35343,https://www.vanshglobalplast.com/,5.0,,"127/3/1, Gurjar Estate, Amaratlal Estate, Industrial Area, Rakhial, Ahmedabad, Gujarat 380023","Amaratlal Estate, Industrial Area, Rakhial",23.013828999999998,72.62797499999999,ChIJHxLoYgCHXjkRqc79NJkI4BA,https://www.google.com/maps/place/?q=place_id:ChIJHxLoYgCHXjkRqc79NJkI4BA,part_101,2026-09-20 16:46:55
S.K GARMENT,Exporters,Garment Exporter,Garment Exporter,380023,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Rakhial Udyog Vistar SO, Sukhrampura SO",+91 88661 18555,N/A,4.3,12.0,"first floor, SUMEL BUSINESS PARK-8, J-111, near Ajit Mill Circle, Char Rasta, Rehmat Nagar, Bapunagar, Ahmedabad, Gujarat 380023","Char Rasta, Rehmat Nagar, Bapunagar",23.022658399999997,72.6331336,ChIJ8Y9cmbCHXjkRvaCdTcQQ7Ls,https://www.google.com/maps/place/?q=place_id:ChIJ8Y9cmbCHXjkRvaCdTcQQ7Ls,part_101,2026-09-20 16:46:56
