business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Akshar Live,Edible Oil Wholesaler,Wholesaler,"Wholesaler, Food manufacturer, Food manufacturing supply, Grocery delivery service, Natural goods store, Olive oil manufacturer, Outlet mall, Store, Outlet store",384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 87991 23728,https://aksharlive.com/,4.9,,"85, Iscon Industrial, Near Iscon Temple Nugar Circle Bypass, Road, Mehsana, Gujarat 384005",384001,23.5988838,72.32727679999999,ChIJ1USKWiVpXDkRekesHnb36qM,https://www.google.com/maps/place/?q=place_id:ChIJ1USKWiVpXDkRekesHnb36qM,part_104,2026-09-20 16:46:08
Jalaram Oil And Foods,Edible Oil Wholesaler,Store,Store,384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",N/A,N/A,4.4,,"LAXMI INDUSTRIAL ESTATE, 2/A, Vadnagar Road, Ganjbazar, Bhalak, Visnagar, Gujarat 384315",Ganjbazar,23.7136452,72.5508983,ChIJi12uQiRQXDkR8EKSXme8Nk8,https://www.google.com/maps/place/?q=place_id:ChIJi12uQiRQXDkR8EKSXme8Nk8,part_104,2026-09-20 16:46:08
REVA MINE CHEM,Edible Oil Wholesaler,Mineral supplier,Mineral supplier,384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 99983 01114,http://www.revaminechem.com/,5.0,,"H-1, REVA PRABHU, Sardardham, A-1, Modhera Rd, Dediyasan GIDC, 2, Mehsana, Gujarat 384002","Dediyasan GIDC, 2",23.5886928,72.35812109999999,ChIJ6WGdS_VBXDkRURXX7EafeAc,https://www.google.com/maps/place/?q=place_id:ChIJ6WGdS_VBXDkRURXX7EafeAc,part_104,2026-09-20 16:46:08
GJ2 EGG WORLD,Edible Oil Wholesaler,Egg supplier,Egg supplier,384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 90994 18224,N/A,5.0,,"atharv business park, G-17, bypass road, opp. tilak hotel, Bansari Twp, Mehsana, Gujarat 384005",Bansari Township,23.620090599999997,72.3474866,ChIJD0u4cwBDXDkRbjhgiO97HUs,https://www.google.com/maps/place/?q=place_id:ChIJD0u4cwBDXDkRbjhgiO97HUs,part_104,2026-09-20 16:46:08
Gayatri Cattlefeed,Edible Oil Wholesaler,Agricultural Product Wholesaler,Agricultural Product Wholesaler,384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 93274 93374,N/A,4.8,,"Bhagyoday Co Op Housing Society, Mehsana, Gujarat 384001",Bhagyoday Co Op Housing Society,23.5950056,72.39061149999999,ChIJvw5dZQBDXDkRIM2pt169VOQ,https://www.google.com/maps/place/?q=place_id:ChIJvw5dZQBDXDkRIM2pt169VOQ,part_104,2026-09-20 16:46:08
Anmol oil mill,Edible Oil Wholesaler,Food manufacturer,"Food manufacturer, Grocery delivery service",384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 97231 76497,N/A,5.0,,"G-2 navsrushti edific, Mehsana Byp, near d-mart circle, Mehsana, Gujarat 384005",384001,23.6100095,72.336681,ChIJo1GGR5tDXDkRM6jsbHTDO6M,https://www.google.com/maps/place/?q=place_id:ChIJo1GGR5tDXDkRM6jsbHTDO6M,part_104,2026-09-20 16:46:08
Jalaram Oil Depo (Edible Oil Shop),Edible Oil Wholesaler,Wholesaler,Wholesaler,384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 70169 51872,N/A,4.1,,"Market Yard Road, Ganjbazar, Visnagar, Gujarat 384315",Ganjbazar,23.705672999999997,72.5441699,ChIJ54MLICBQXDkRELmO4LHsfx8,https://www.google.com/maps/place/?q=place_id:ChIJ54MLICBQXDkRELmO4LHsfx8,part_104,2026-09-20 16:46:08
Trushita Natural Food LLP,Edible Oil Wholesaler,Wholesaler,"Wholesaler, Food manufacturer, Organic food store, Natural goods store",384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 82005 30016,https://linktr.ee/trushitanaturalfood,5.0,,"phase 2, D J industrial Estate, 61,62,63, Visnagar - Kheralu Rd, opp. Matel Hotel, Visnagar, Gujarat 384315",Ganjbazar,23.7123344,72.5527961,ChIJMWn4TBlRXDkR6FG6QIg3ygA,https://www.google.com/maps/place/?q=place_id:ChIJMWn4TBlRXDkR6FG6QIg3ygA,part_104,2026-09-20 16:46:08
Uma Hydro Energy Suppliers,Edible Oil Wholesaler,Wholesaler,Wholesaler,384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 90332 12071,N/A,5.0,,"F/3, Classic Empire, National Highway, opposite Shilpa Garage Road, Mehsana, Gujarat 384002",Sagar Society,23.600281499999998,72.3799343,ChIJy1R0Q3BDXDkR_MS4h1QpN9Y,https://www.google.com/maps/place/?q=place_id:ChIJy1R0Q3BDXDkR_MS4h1QpN9Y,part_104,2026-09-20 16:46:08
"Shivababa FILTERED OIL, VISNAGAR",Edible Oil Wholesaler,Wholesaler,Wholesaler,384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 63530 90946,N/A,5.0,,"Plot No.8, Database Road, Ganjbazar, Visnagar, Gujarat 384315",Ganjbazar,23.7074845,72.5429613,ChIJfXnR-O5RXDkRa4fEyT_hmoE,https://www.google.com/maps/place/?q=place_id:ChIJfXnR-O5RXDkRa4fEyT_hmoE,part_104,2026-09-20 16:46:08
MR TECH-CHEM PRIVATE LIMITED,Edible Oil Wholesaler,Agricultural machinery manufacturer,"Agricultural machinery manufacturer, Boiler Manufacturer, Boiler supplier, Corporate office, Industrial equipment supplier, Machine maintenance service, Oil refinery, Olive oil bottling company, Olive oil cooperative, Olive oil manufacturer",384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 63520 16185,https://mr-techchem-private.grexa.site/,5.0,,"Shivshakti Complex, 11/12/16, Mehsana Chansama highway, Lanva, Gujarat 384229",384001,23.6794904,72.2549611,ChIJ1QPWBwBnXDkRA0TPOc9Iho4,https://www.google.com/maps/place/?q=place_id:ChIJ1QPWBwBnXDkRA0TPOc9Iho4,part_104,2026-09-20 16:46:08
Shiva Exim,Edible Oil Wholesaler,Spices Exporter,"Spices Exporter, Exporter, Fruit and vegetable wholesaler, Importer, Agricultural Seed Store",384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 90996 66604,http://www.shivaexim.com/,5.0,,"D-11, First Floor, Market Yard, Gujarat 384001",Bhagyoday Co Op Housing Society,23.594232599999998,72.3900379,ChIJG_T4EMxBXDkR3lkKgD-SwKE,https://www.google.com/maps/place/?q=place_id:ChIJG_T4EMxBXDkR3lkKgD-SwKE,part_104,2026-09-20 16:46:08
M RASIKLAL AND CO,Edible Oil Wholesaler,Grocery store,Grocery store,384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 94260 18123,N/A,4.4,,"G 24, ASHTHA COMPLEX, Malgodown Rd, Malgodown, Shraddhadip Society, Mehsana, Gujarat 384002","Malgodown, Shraddhadip Society",23.596627299999998,72.3872267,ChIJn9fuVNZDXDkRT4nR4C42yBk,https://www.google.com/maps/place/?q=place_id:ChIJn9fuVNZDXDkRT4nR4C42yBk,part_104,2026-09-20 16:46:08
Keshar Bhavani Industries,Edible Oil Wholesaler,Agricultural production,"Agricultural production, Agricultural Product Wholesaler, Dairy Products Supplier, Feed manufacturer, Animal feed store, Food producer, Produce wholesaler",384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 97144 65597,https://keshar-bhavani.grexa.site/,4.9,,"881 /1/2, Der - Balishana Rd, Balisana, Der, Gujarat 384110",384001,23.840959899999998,72.26815479999999,ChIJOwCDt1qLXDkRF-thGOM1vR8,https://www.google.com/maps/place/?q=place_id:ChIJOwCDt1qLXDkRF-thGOM1vR8,part_104,2026-09-20 16:46:09
Shreeji Sagar Impex LLP,Edible Oil Wholesaler,Food manufacturer,"Food manufacturer, Food products supplier, Import export company",384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 99248 49221,http://www.jorrybites.com/,4.8,9.0,"38 Dev Industrial Park, Behind Utkarsh Vidhyalaya, Mehsana Unjha, Highway, Motidau, Gujarat 384120",384001,23.6816019,72.3753828,ChIJB5kamytCXDkRgi_l10JHGZU,https://www.google.com/maps/place/?q=place_id:ChIJB5kamytCXDkRgi_l10JHGZU,part_104,2026-09-20 16:46:10
Broil Sensotek Industries,Edible Oil Wholesaler,Measuring instruments supplier,"Measuring instruments supplier, Engineer, Industrial consultant, Oil field equipment supplier",384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 99244 22555,http://broiltech.com/,4.8,69.0,"Nilkanth Industrial park, 1-4, GIDC-2, Nagalpur, Mehsana, Gujarat 384002",Nagalpur,23.5801187,72.3538614,ChIJVSX9xvJBXDkRBmbPPHcvypw,https://www.google.com/maps/place/?q=place_id:ChIJVSX9xvJBXDkRBmbPPHcvypw,part_104,2026-09-20 16:46:10
MAUSAM OIL,Edible Oil Wholesaler,Food products supplier,Food products supplier,384001,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Mahesana HO, Basana BO, Meghaliasana BO",+91 90999 29139,N/A,4.8,26.0,"SARVE NO: 991, OPP. JALARAMDHAM, VISNAGAR-VADNAGAR, ROAD, Visnagar, Gujarat 384315",384001,23.719779499999998,72.5595475,ChIJzQXWYlNRXDkRPKJSmdj6VzM,https://www.google.com/maps/place/?q=place_id:ChIJzQXWYlNRXDkRPKJSmdj6VzM,part_104,2026-09-20 16:46:10
