business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ArtCore Event,Corporate Event Planner,Event planner,"Event planner, Audio visual consultant, Children's party service, Entertainment agency, Event management company, Party planner, Restaurant supply store, Wedding planner, Wedding service",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 77780 66999,https://www.artcoreevent.com/,4.9,240.0,"Maurya Complex, 203, Navjeevan Marg, nr. Cu Shah Commerce College, Income Tax, Sattar Taluka Society, Usmanpura, Ahmedabad, Gujarat 380009","Income Tax, Sattar Taluka Society, Usmanpura",23.0426821,72.5677288,ChIJq_mdeIqEXjkRiBL13WCSdcQ,https://www.google.com/maps/place/?q=place_id:ChIJq_mdeIqEXjkRiBL13WCSdcQ,part_101,2026-09-20 16:40:20
Pridha Event | Surprise Event Planner,Corporate Event Planner,Event planner,Event planner,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 83205 35962,https://www.pridhaevent.com/,4.8,109.0,"302 Ambience Arya, Navrangpura, Ahmedabad, Gujarat 380009","Muslim Society, Navrangpura",23.0345548,72.5665887,ChIJo99EdVqFXjkRns6dxoQQ_HE,https://www.google.com/maps/place/?q=place_id:ChIJo99EdVqFXjkRns6dxoQQ_HE,part_101,2026-09-20 16:40:20
Salmon Pink Events & Entertainment,Corporate Event Planner,Event planner,"Event planner, Event management company, Exhibition planner, Party planner, Wedding planner",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 95100 00036,https://www.salmonpinkevent.com/,5.0,17.0,"E-1102, Apple Wood Sorrel Applewood Township, Sardar Patel Ring Rd, South Bopal, Ahmedabad, Gujarat 380058",South Bopal,22.989741,72.471139,ChIJlwHS90qFXjkRt0fsP_wg4us,https://www.google.com/maps/place/?q=place_id:ChIJlwHS90qFXjkRt0fsP_wg4us,part_101,2026-09-20 16:40:20
Shyaam Events,Corporate Event Planner,Event management company,Event management company,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 63549 24242,N/A,4.9,19.0,"45/534, Rishikesh Nagar, Laxmi Narayan Society, Maninagar, Ahmedabad, Gujarat 380008","Rishikesh Nagar, Laxmi Narayan Society, Maninagar",22.9912198,72.6228016,ChIJ4VkYO-qHXjkRd4js82yoK9U,https://www.google.com/maps/place/?q=place_id:ChIJ4VkYO-qHXjkRd4js82yoK9U,part_101,2026-09-20 16:40:20
Event craft creation,Corporate Event Planner,Event management company,Event management company,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 82009 30276,N/A,5.0,12.0,"H-4, Vijay Tower, opp. EKA CLUB, Kankaria, Ahmedabad, Gujarat 380022",Kankaria,23.0094606,72.59883099999999,ChIJIWdpehCFXjkRlF-9EoGnayM,https://www.google.com/maps/place/?q=place_id:ChIJIWdpehCFXjkRlF-9EoGnayM,part_101,2026-09-20 16:40:20
Maverick Management,Corporate Event Planner,Event planner,"Event planner, Event management company, Party planner, Wedding planner",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98249 96648,http://www.maverickmanagement.in/,4.9,131.0,"Titanium Business park Divya bhaskar press, A 303, near railway under bridge, Makarba, Ahmedabad, Gujarat 380051",Makarba,22.9973256,72.502944,ChIJoQOCCs-EXjkRQBBQ8QcS9Dw,https://www.google.com/maps/place/?q=place_id:ChIJoQOCCs-EXjkRQBBQ8QcS9Dw,part_101,2026-09-20 16:40:20
AP EVENTS,Corporate Event Planner,Event management company,Event management company,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 75730 95126,https://apevents.bytecard.in/,5.0,8.0,"D14, Local Rd, Hatkeshwar, Ahmedabad, Gujarat 380008",Hatkeshwar,22.992608,72.6265164,ChIJ-dWWWUGFXjkRK1CUh5Jf9IU,https://www.google.com/maps/place/?q=place_id:ChIJ-dWWWUGFXjkRK1CUh5Jf9IU,part_101,2026-09-20 16:40:20
Rd events,Corporate Event Planner,Event planner,Event planner,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",N/A,https://rd-event.grexa.site/,5.0,1.0,"Bal Bhavan, 4 raj complex Madarashi, Ramji Mandir Rd, rod, Khokhra, Ahmedabad, Gujarat 380008","rod, Khokhra",23.001706199999997,72.6170803,ChIJCQ2ZBk2HXjkRjfoWI2H4R8A,https://www.google.com/maps/place/?q=place_id:ChIJCQ2ZBk2HXjkRjfoWI2H4R8A,part_101,2026-09-20 16:40:20
SHREE GANESH EVENT,Corporate Event Planner,Event management company,Event management company,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 72260 17273,N/A,4.9,,"Amraiwadi, Ahmedabad, Gujarat 380026",Amraiwadi,23.004449599999997,72.62586519999999,ChIJsdUcwgeHXjkRP8b8HR5FAAM,https://www.google.com/maps/place/?q=place_id:ChIJsdUcwgeHXjkRP8b8HR5FAAM,part_101,2026-09-20 16:40:21
Eventastic Company,Corporate Event Planner,Event management company,Event management company,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 96971 19944,http://www.eventastic.co.in/,4.9,,"411, Nalanda Enclave 1st Slope, Pritam Nagar, Ahmedabad, Gujarat 380006","Pritam Nagar, Paldi",23.0197814,72.5685864,ChIJJUa4jOiFXjkRe00rEwjBqfg,https://www.google.com/maps/place/?q=place_id:ChIJJUa4jOiFXjkRe00rEwjBqfg,part_101,2026-09-20 16:40:22
