business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Samved Media Pvt. Ltd.,Media and Event,Event management company,Event management company,382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",N/A,https://www.samvedmedia.com/,5.0,,"Office No: 201, The Orion, Sarkhej - Gandhinagar Hwy, near Shree Balaji Temple, Ahmedabad, Gujarat 382481",382421,23.1251899,72.53909,ChIJSRE79ECDXjkRHmM_NjY1TVk,https://www.google.com/maps/place/?q=place_id:ChIJSRE79ECDXjkRHmM_NjY1TVk,part_102,2026-09-20 16:55:16
VizSpark Media,Media and Event,Media company,"Media company, Advertising Photographer, Branding agency, Photographer, Photography service, Video production service",382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",N/A,http://www.vizsparkmedia.com/,5.0,,"B/s, PRAMUKH ZION BUNGALOW, Shop No 28, Satyamev Royal, Society, nr. Royal Circle, Sargasan, Gandhinagar, Gujarat 382421",Sargasan,23.193933299999998,72.60779409999999,ChIJdxJsv18pXDkRIKAgZyZp9A4,https://www.google.com/maps/place/?q=place_id:ChIJdxJsv18pXDkRIKAgZyZp9A4,part_102,2026-09-20 16:55:16
The devansh event & entertainment,Media and Event,Advertising agency,Advertising agency,382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",+91 70438 00245,https://www.devanshevents.com/,5.0,,"B14, vinyak park, vastral Rto road, Surekha Park Society, Chandkheda, Ahmedabad, Gujarat 382424","Surekha Park Society, Chandkheda",23.1133037,72.57374759999999,ChIJXRRB9mqDXjkRC9UrnpaI1xk,https://www.google.com/maps/place/?q=place_id:ChIJXRRB9mqDXjkRC9UrnpaI1xk,part_102,2026-09-20 16:55:16
BK Media,Media and Event,Media company,Media company,382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",N/A,http://bkmedia.co.in/,5.0,,"Office No. 201-202, The Orion, Sarkhej - Gandhinagar Hwy, near Shree Balaji Temple, Ahmedabad, Gujarat 382481",382421,23.1251899,72.53909,ChIJH1T9YDWDXjkRVvYGa3ST9iE,https://www.google.com/maps/place/?q=place_id:ChIJH1T9YDWDXjkRVvYGa3ST9iE,part_102,2026-09-20 16:55:16
Wedinning Entertainment,Media and Event,Video production service,"Video production service, Entertainment agency, Event management company, Film Production Company, Photography service, Photography studio, Video editing service, Photographer, Wedding photographer",382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",+91 73831 70900,https://www.wedmegood.com/profile/Wedinning-Entertainment-3210301,5.0,,"Lords Nest, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424","Nigam Nagar, Chandkheda",23.1159796,72.58710889999999,ChIJ2SqDfhqDXjkRnokLuuton6M,https://www.google.com/maps/place/?q=place_id:ChIJ2SqDfhqDXjkRnokLuuton6M,part_102,2026-09-20 16:55:16
Peers Global Business Media Pvt Ltd,Media and Event,Event management company,Event management company,382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",+91 93161 20831,N/A,5.0,,"C 504, Parmeshwar 4, Jagatpur Rd, Opp. Navrang School, Krishnadham Tenement, Chandkheda, Ahmedabad, Gujarat 382470","Opp. Navrang School, Krishnadham Tenement, Chandkheda",23.1139911,72.5584645,ChIJY8SAw9CDXjkR6BP0SCDrjEo,https://www.google.com/maps/place/?q=place_id:ChIJY8SAw9CDXjkR6BP0SCDrjEo,part_102,2026-09-20 16:55:16
White Sparrow Mediaworks,Media and Event,Corporate office,"Corporate office, Advertising agency, Entertainment agency, Event planner, Film Production Company, Modeling agency, Movie studio, Photography studio, Video editing service, Video production service",382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",N/A,http://www.whitesparrowhd.com/,3.9,,"Pehel Lake View, opp. Shri Anushthan, behind Ratna Paradise, Ahmedabad, Gujarat 382421",382421,23.1371967,72.5530122,ChIJga5repyDXjkRS4R1bPGH8GM,https://www.google.com/maps/place/?q=place_id:ChIJga5repyDXjkRS4R1bPGH8GM,part_102,2026-09-20 16:55:16
Saunak Films Pvt Ltd,Media and Event,Video production service,Video production service,382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",+91 79 2768 1756,http://www.saunakfilms.in/,4.2,,"G1, Siddhraj Zavod, Sargasan Cross Rd, near 56 Bhog Restaurant, Vasana Hadmatia, Gandhinagar, Gujarat 382006",Vasana Hadmatia,23.1953919,72.619098,ChIJ1VpOlygqXDkR11NpFIEwm1M,https://www.google.com/maps/place/?q=place_id:ChIJ1VpOlygqXDkR11NpFIEwm1M,part_102,2026-09-20 16:55:16
Cortex,Media and Event,Video production service,"Video production service, Animation Studio, Video editing service, Design agency",382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",+91 94271 18696,http://www.cortexstudio.in/,4.7,16.0,"Pruthvi Homes Society, A-502, Sargasan, Gandhinagar, Gujarat 382419",Sargasan,23.1953016,72.6082745,ChIJUSCR7iMrXDkRW0_-bJesJo4,https://www.google.com/maps/place/?q=place_id:ChIJUSCR7iMrXDkRW0_-bJesJo4,part_102,2026-09-20 16:55:17
SKY PRODUCTION,Media and Event,Video production service,"Video production service, Screen store",382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO",+91 90991 44063,N/A,5.0,23.0,"Sarkhej - Gandhinagar Hwy, Tragad, Ahmedabad, Gujarat 382470",Tragad,23.128057,72.5511994,ChIJ1ea7_iWDXjkRB0jSxdCnm_k,https://www.google.com/maps/place/?q=place_id:ChIJ1ea7_iWDXjkRB0jSxdCnm_k,part_102,2026-09-20 16:55:17
